Index,Minute,Team,Player,Position,Type,Shot outcome,Origin_Xcoord,Origin_Ycoord,Destination_Xcoord,Destination_Ycoord,Pass_Recipient
1457,43,France,Theo Bernard François Hernández,Left Back,Pass,,69.6,0.1,71.5,8.7,Aurélien Djani Tchouaméni
1460,43,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,71.5,8.7,68.9,3.6,Theo Bernard François Hernández
1463,43,France,Theo Bernard François Hernández,Left Back,Pass,,68.9,3.6,45,7.7,Dayotchanculle Upamecano
1466,43,France,Dayotchanculle Upamecano,Left Center Back,Pass,,48.4,22.4,56.3,7,Theo Bernard François Hernández
1469,43,France,Theo Bernard François Hernández,Left Back,Pass,,56.3,7,45,16.4,Dayotchanculle Upamecano
1472,43,France,Dayotchanculle Upamecano,Left Center Back,Pass,,42.8,20.7,40.5,51.7,Raphaël Varane
1475,43,France,Raphaël Varane,Right Center Back,Pass,,63.1,58.3,56.3,47.4,Aurélien Djani Tchouaméni
1478,44,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,56.3,46.8,45.6,32.3,Dayotchanculle Upamecano
1483,44,France,Dayotchanculle Upamecano,Left Center Back,Pass,,53.1,8.1,68.3,19,
1486,44,France,Theo Bernard François Hernández,Left Back,Pass,,56.5,7,55.9,27.5,Aurélien Djani Tchouaméni
1489,44,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,55.4,28.4,55.7,49.2,Raphaël Varane
1492,44,France,Raphaël Varane,Right Center Back,Pass,,55.2,47.4,49.2,29.9,Dayotchanculle Upamecano
1495,44,France,Dayotchanculle Upamecano,Left Center Back,Pass,,47.7,31.4,47.5,71.6,Jules Koundé
1498,44,France,Jules Koundé,Right Back,Pass,,77.5,71.2,86.7,77.2,Randal Kolo Muani
1502,44,France,Randal Kolo Muani,Right Wing,Pass,,85.2,64.8,94.4,57.3,Kylian Mbappé Lottin
1504,44,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,25.7,22.8,32.4,27.5,Rodrigo Javier De Paul
1515,44,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,86,55.1,84.7,46.2,Randal Kolo Muani
1524,44,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,38.5,33.1,41.6,40.7,Rodrigo Javier De Paul
1526,44,France,Adrien Rabiot,Left Defensive Midfield,Pass,,78.5,39.4,91.3,30.4,
1527,44,Argentina,Nahuel Molina Lucero,Right Back,Pass,,28.8,49.7,43.3,49.2,Lionel Andrés Messi Cuccittini
1531,44,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,37.5,53.8,44.3,74.2,Nahuel Molina Lucero
1535,45,Argentina,Nahuel Molina Lucero,Right Back,Pass,,55.7,76.1,58,67.5,Lionel Andrés Messi Cuccittini
1537,45,France,Adrien Rabiot,Left Defensive Midfield,Pass,,62.1,12.6,63.1,0.8,Marcus Thuram
1539,45,Argentina,Nahuel Molina Lucero,Right Back,Pass,,57.6,80,52,72.9,Rodrigo Javier De Paul
1542,45,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,50.5,74.6,32.1,70.1,Cristian Gabriel Romero
1545,45,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,30.2,64.5,27.7,28,Nicolás Hernán Otamendi
1548,45,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,27.4,26.2,43.5,3.6,Nicolás Alejandro Tagliafico
1551,45,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,43.5,3.6,112.8,19,Ángel Fabián Di María Hernández
1554,45,France,Hugo Lloris,Goalkeeper,Pass,,9.2,57.7,26.8,34.8,Dayotchanculle Upamecano
1557,45,France,Dayotchanculle Upamecano,Left Center Back,Pass,,38.8,33.3,46.7,26.9,Aurélien Djani Tchouaméni
1560,45,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,56.1,20.9,66.4,7.7,Theo Bernard François Hernández
1564,45,France,Theo Bernard François Hernández,Left Back,Pass,,67.8,7.2,42.2,14.9,Dayotchanculle Upamecano
1567,45,France,Dayotchanculle Upamecano,Left Center Back,Pass,,42.8,16.2,53.3,48.1,Adrien Rabiot
1571,46,France,Adrien Rabiot,Left Defensive Midfield,Pass,,80.7,72.9,73.6,76.1,Jules Koundé
1574,46,France,Jules Koundé,Right Back,Pass,,74.1,76.3,65.9,49.6,Aurélien Djani Tchouaméni
1577,46,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,67.4,41,78.3,7.9,Theo Bernard François Hernández
1580,46,France,Theo Bernard François Hernández,Left Back,Pass,,78.3,6.8,69.1,17.5,Aurélien Djani Tchouaméni
1584,46,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,69.8,16.4,56.9,24.8,Dayotchanculle Upamecano
1588,46,France,Dayotchanculle Upamecano,Left Center Back,Pass,,56.5,26.9,86.9,20.3,
1592,46,France,Kylian Mbappé Lottin,Center Forward,Pass,,91.8,4.7,99.7,10.9,Marcus Thuram
1599,46,France,Marcus Thuram,Left Wing,Pass,,113,5.5,112.6,10.2,
1604,47,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,15.9,73.1,85.2,61.3,
1605,47,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,34.9,18.8,53.1,14.7,
1608,47,Argentina,Nahuel Molina Lucero,Right Back,Pass,,66.8,64.5,80.3,54.5,Lionel Andrés Messi Cuccittini
1611,47,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,80.3,56.4,100.8,53,Julián Álvarez
1615,48,Argentina,Nahuel Molina Lucero,Right Back,Pass,,104.9,80,97.6,72.2,Rodrigo Javier De Paul
1617,48,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,97.4,72,105.3,75.2,Nahuel Molina Lucero
1619,48,Argentina,Nahuel Molina Lucero,Right Back,Pass,,105.3,75.2,104.4,68.6,Julián Álvarez
1622,48,Argentina,Julián Álvarez,Center Forward,Pass,,104.7,68.2,101.2,71.8,Rodrigo Javier De Paul
1626,48,France,Adrien Rabiot,Left Defensive Midfield,Pass,,22.5,10,40.3,12.1,Kylian Mbappé Lottin
1629,48,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,57,71.4,20,47.2,Damián Emiliano Martínez
1632,48,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,18.9,48.1,22.1,23,Nicolás Hernán Otamendi
1635,48,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,34.5,16.6,52.7,2.9,Ángel Fabián Di María Hernández
1642,48,France,Randal Kolo Muani,Right Wing,Pass,,64.6,73.7,47.1,56.4,Raphaël Varane
1645,48,France,Raphaël Varane,Right Center Back,Pass,,40,40.2,50.7,56,Aurélien Djani Tchouaméni
1648,48,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,50.9,56.9,44.3,29.7,Dayotchanculle Upamecano
1651,48,France,Dayotchanculle Upamecano,Left Center Back,Pass,,53.3,25.8,44.3,41.9,Raphaël Varane
1654,49,France,Raphaël Varane,Right Center Back,Pass,,47.7,45.5,50.9,55.1,Aurélien Djani Tchouaméni
1658,49,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,52.7,49.4,52.4,28.8,Dayotchanculle Upamecano
1661,49,France,Dayotchanculle Upamecano,Left Center Back,Pass,,63.1,24.8,78.1,5.5,Marcus Thuram
1668,49,France,Theo Bernard François Hernández,Left Back,Pass,,94.6,0.1,75.8,6.4,Dayotchanculle Upamecano
1670,49,France,Dayotchanculle Upamecano,Left Center Back,Pass,,76.6,7.2,56.7,27.5,Raphaël Varane
1673,49,France,Raphaël Varane,Right Center Back,Pass,,55.2,34.8,63.6,59.8,Jules Koundé
1676,49,France,Jules Koundé,Right Back,Pass,,70.8,65.2,83.5,76.7,Antoine Griezmann
1679,49,France,Antoine Griezmann,Center Attacking Midfield,Pass,,81.8,75.7,65.1,63.9,Raphaël Varane
1682,49,France,Raphaël Varane,Right Center Back,Pass,,68.9,60.3,99.5,37.4,Marcus Thuram
1684,49,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,20.6,42.7,28.3,32.9,Enzo Fernandez
1687,49,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,29.8,33.1,28.5,23.5,Alexis Mac Allister
1693,49,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,36.4,22.4,36.4,19.8,
1695,50,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,64.7,0.1,82,4.4,Lionel Andrés Messi Cuccittini
1698,50,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,80.1,0.1,94.4,4.4,Julián Álvarez
1704,50,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,26.6,70.8,18.7,63.5,Dayotchanculle Upamecano
1707,50,France,Dayotchanculle Upamecano,Left Center Back,Pass,,18.2,61.3,52,68.4,
1708,50,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,68.1,11.7,77.9,16.6,Enzo Fernandez
1710,50,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,79,16,81.8,19.4,
1716,50,France,Antoine Griezmann,Center Attacking Midfield,Pass,,38.5,73.1,31.7,72.9,Jules Koundé
1720,50,France,Jules Koundé,Right Back,Pass,,30,72.9,33.4,72.9,
1723,50,Argentina,Ángel Fabián Di María Hernández,Left Wing,Pass,,94,0.1,79,11.1,Enzo Fernandez
1726,50,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,76.9,13.4,82.4,24.3,Lionel Andrés Messi Cuccittini
1729,51,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,82,22.8,74.7,18.3,Enzo Fernandez
1732,51,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,68.7,19.8,53.5,42.5,Cristian Gabriel Romero
1736,51,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,57.8,41,77.9,0.1,Ángel Fabián Di María Hernández
1738,51,France,Jules Koundé,Right Back,Pass,,42,80,40.7,72.9,Aurélien Djani Tchouaméni
1743,51,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,39.2,74.2,54.4,74.8,Randal Kolo Muani
1749,52,France,Antoine Griezmann,Center Attacking Midfield,Pass,,80.9,73.1,120,29,
1754,45,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,61,40.1,47.5,37.6,Enzo Fernandez
1757,45,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,47.3,41.9,43.9,55.1,Rodrigo Javier De Paul
1760,45,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,43.7,51.3,30.4,29,Nicolás Hernán Otamendi
1763,45,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,30.4,29,39.4,13.9,Nicolás Alejandro Tagliafico
1766,45,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,39.2,13.9,63.4,3.4,Ángel Fabián Di María Hernández
1770,45,Argentina,Ángel Fabián Di María Hernández,Left Wing,Pass,,57.6,4,39.8,5.9,Nicolás Alejandro Tagliafico
1773,45,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,38.3,7.4,25.9,17.1,Nicolás Hernán Otamendi
1776,45,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,25.7,17.5,8,32.3,Damián Emiliano Martínez
1779,45,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,6.7,30.8,50.7,7.2,
1781,45,France,Jules Koundé,Right Back,Pass,,69.4,72.9,67.4,59.6,Aurélien Djani Tchouaméni
1783,45,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,67.2,59.6,71.9,58.8,
1788,45,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,70.6,21.1,87.3,17.3,Julián Álvarez
1792,45,Argentina,Julián Álvarez,Center Forward,Pass,,97,29.3,98.4,57.4,Rodrigo Javier De Paul
1795,45,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,97.6,56.2,105.3,61.1,Julián Álvarez
1798,45,Argentina,Julián Álvarez,Center Forward,Pass,,100.1,62.8,88.2,54.7,Enzo Fernandez
1801,45,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,87.7,53,111.9,41.9,Alexis Mac Allister
1804,45,France,Hugo Lloris,Goalkeeper,Pass,,11.6,39.7,27.9,8.5,Theo Bernard François Hernández
1807,46,Argentina,Nahuel Molina Lucero,Right Back,Pass,,80.3,80,90.9,68.8,Julián Álvarez
1810,46,France,Marcus Thuram,Left Wing,Pass,,36.6,11.7,23.4,42.7,Jules Koundé
1816,46,France,Jules Koundé,Right Back,Pass,,61.9,71.2,65.7,70.9,
