Index,Minute,Team,Player,Position,Type,Shot outcome,Origin_Xcoord,Origin_Ycoord,Destination_Xcoord,Destination_Ycoord,Pass_Recipient
2053,53,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,55.9,65.8,72.3,75.7,Rodrigo Javier De Paul
2057,53,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,68.3,75.2,34.3,30.3,Damián Emiliano Martínez
2060,53,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,34.3,30.3,39.4,35,Enzo Fernandez
2063,53,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,39.4,35,59.3,11.7,
2064,53,France,Jules Koundé,Right Back,Pass,,60.8,68.4,79.2,70.5,Antoine Griezmann
2066,53,France,Antoine Griezmann,Center Attacking Midfield,Pass,,79.4,70.5,67,69.5,Aurélien Djani Tchouaméni
2069,53,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,63.6,73.3,55.7,42.3,Dayotchanculle Upamecano
2072,53,France,Dayotchanculle Upamecano,Left Center Back,Pass,,64.4,45.9,71.9,23.2,Adrien Rabiot
2075,53,France,Adrien Rabiot,Left Defensive Midfield,Pass,,65.3,30.1,67,42.9,Aurélien Djani Tchouaméni
2077,53,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,67,42.9,56.7,34.2,Dayotchanculle Upamecano
